[2023-01-21 15:28:47] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:28:52] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:28:57] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:02] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:08] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:13] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:19] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:24] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:30] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:35] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:40] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:45] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:52] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:29:58] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:05] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:10] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:16] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:23] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:29] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:34] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:39] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:44] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:50] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:30:55] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:00] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:06] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:11] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:16] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:22] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:27] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:32] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:38] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:43] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:48] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:53] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:31:59] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:04] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:09] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:15] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:20] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:25] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:30] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:35] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:40] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:45] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:50] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:32:55] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:00] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:06] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:11] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:16] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:21] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:27] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:32] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:37] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:42] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:48] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:33:59] [WARNING]: 监听反向WS Universal时出现错误: websocket: close 1006 (abnormal closure): unexpected EOF 
[2023-01-21 15:34:05] [WARNING]: 向反向WS Universal服务器推送 Event 时出现错误: write tcp 127.0.0.1:14125->127.0.0.1:1602: use of closed network connection 
